brand,model,height,width,diameter,sku,max_pressure,max_load,load_range,photo_url,cost,price
BFGoodrich,All Terrain A/T KO2,LT295,55,"20""",62900,NA,NA,E,https://i5.walmartimages.com/asr/f90eddf8-8ec3-4bc6-953e-5fe12077bdb8_1.1fd50a701867fdddab44478d088c54a7.jpeg,"$1,292.00","$1,496.00"
BFGoodrich,All Terrain A/T KO2,LT305,55,"20""",15149,NA,NA,E,https://i5.walmartimages.com/asr/f90eddf8-8ec3-4bc6-953e-5fe12077bdb8_1.1fd50a701867fdddab44478d088c54a7.jpeg,"$1,292.00","$1,800.00"
BFGoodrich,All Terrain A/T KO2,LT325,60,"20""",12201,NA,NA,E,https://i5.walmartimages.com/asr/f90eddf8-8ec3-4bc6-953e-5fe12077bdb8_1.1fd50a701867fdddab44478d088c54a7.jpeg,"$1,448.00","$1,756.00"
Fury,Country Hunter MT,40,13.5,"17""",FCHC4017,35,3195,C,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/69456/8442220/fury-country-hunter-mt-b-40-15.50-26-927973-1__52549.1582733783.jpg?c=2,"$1,624.00","$1,820.00"
Fury,Country Hunter MT,35,12.5,"20""",FCHF3520,80,3640,F,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/69456/8442220/fury-country-hunter-mt-b-40-15.50-26-927973-1__52549.1582733783.jpg?c=3,"$1,092.00","$1,260.00"
Fury,Country Hunter MT,305,55,"20""",FCHE30520,65,3195,E,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/69456/8442220/fury-country-hunter-mt-b-40-15.50-26-927973-1__52549.1582733783.jpg?c=4,"$1,300.00","$1,600.00"
Fury,Country Hunter MT,33,12.5,"22""",FCHF331220,80,2600,F,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/69456/8442220/fury-country-hunter-mt-b-40-15.50-26-927973-1__52549.1582733783.jpg?c=5,"$1,156.00","$1,308.00"
Fury,Country Hunter MT,35,12.5,"18""",FCHE3518,65,3415,E,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/69456/8442220/fury-country-hunter-mt-b-40-15.50-26-927973-1__52549.1582733783.jpg?c=6,"$1,092.00","$1,268.00"
Versa Tyre,MXT,33,12.5,20,TMXT04,80,NA,F,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/74704/8504334/versatyre-mxthd-b-33-12.50-20-n1391331-1__95712.1594372171.jpg?c=2,"$780.00","$1,080.00"
Versa Tyre,MXT,35,12.5,20,TMXT06,80,NA,F,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/74704/8504334/versatyre-mxthd-b-33-12.50-20-n1391331-1__95712.1594372171.jpg?c=3,"$800.00","$1,080.00"
Versa Tyre,MXT,285,50,20,TMXT07,65,NA,E,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/74704/8504334/versatyre-mxthd-b-33-12.50-20-n1391331-1__95712.1594372171.jpg?c=4,"$680.00","$860.00"
Versa Tyre,MXT,285,60,20,TMXT01,65,NA,E,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/74704/8504334/versatyre-mxthd-b-33-12.50-20-n1391331-1__95712.1594372171.jpg?c=5,"$740.00","$900.00"
Versa Tyre,MXT,33,13.5,22,CMXT02,65,NA,E,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/74704/8504334/versatyre-mxthd-b-33-12.50-20-n1391331-1__95712.1594372171.jpg?c=6,"$980.00","$1,160.00"
Versa Tyre,MXT,33,13.5,24,CMXT04,65,NA,E,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/74704/8504334/versatyre-mxthd-b-33-12.50-20-n1391331-1__95712.1594372171.jpg?c=7,"$1,120.00","$1,380.00"
Versa Tyre,MXT,36,13.5,22,CMXT03,80,NA,F,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/74704/8504334/versatyre-mxthd-b-33-12.50-20-n1391331-1__95712.1594372171.jpg?c=8,"$1,060.00","$1,288.00"
Versa Tyre,MXT,36,14.5,24,CMXT05,80,NA,F,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/74704/8504334/versatyre-mxthd-b-33-12.50-20-n1391331-1__95712.1594372171.jpg?c=9,"$1,300.00","$1,616.00"
Versa Tyre,MXT,36,14.5,26,CMXT06,80,NA,F,https://cdn11.bigcommerce.com/s-22e4x1yotr/images/stencil/1280x1280/products/74704/8504334/versatyre-mxthd-b-33-12.50-20-n1391331-1__95712.1594372171.jpg?c=10,"$1,540.00","$1,800.00"