sku,brand,name,photo_url,price,cost,diameter,width,bolt_pattern,model,model_other,color,backspacing,offset,center_bore,load_rating,exposed_lugs,material,structure,style,number_of_spokes,year_introduced
XD84929088318,XD,XD849 GRENADE 2,https://images.wheelpros.com/hXD8493.png,1172.00,879.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
XD85021050318N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1332.00,999.00,"20""","10""",5x5.0,,,,,,71.5,2500,,,,,,
XD85021050418N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1228.00,921.00,"20""","10""",5x5.0,,,,,,71.5,2500,,,,,,
XD85021063318N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1332.00,999.00,"20""","10""",6x135,,,,,,87.1,2500,,,,,,
XD85021063418N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1228.00,921.00,"20""","10""",6x135,,,,,,87.1,2500,,,,,,
XD85021068318N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1332.00,999.00,"20""","10""",6x5.5,,,,,,106.25,2500,,,,,,
XD85021068418N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1228.00,921.00,"20""","10""",6x5.5,,,,,,106.25,2500,,,,,,
XD85021080318N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1332.00,999.00,"20""","10""",8x6.5,,,,,,125.5,3640,,,,,,
XD85021080418N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1228.00,921.00,"20""","10""",8x6.5,,,,,,125.5,3640,,,,,,
XD85021085318N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1332.00,999.00,"20""","10""",5x5.5,,,,,,78,2500,,,,,,
XD85021087318N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1332.00,999.00,"20""","10""",8x170,,,,,,125.5,3640,,,,,,
XD85021087418N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1228.00,921.00,"20""","10""",8x170,,,,,,125.5,3640,,,,,,
XD85021088318N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1332.00,999.00,"20""","10""",8x180,,,,,,124.2,3640,,,,,,
XD85021088418N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1228.00,921.00,"20""","10""",8x180,,,,,,124.2,3640,,,,,,
XD85022050318N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1540.00,1155.00,"22""","10""",5x5.0,,,,,,71.5,2500,,,,,,
XD85022050418N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1392.00,1044.00,"22""","10""",5x5.0,,,,,,71.5,2500,,,,,,
XD85022063318N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1540.00,1155.00,"22""","10""",6x135,,,,,,87.1,2500,,,,,,
XD85022063418N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1392.00,1044.00,"22""","10""",6x135,,,,,,87.1,2500,,,,,,
XD85022068318N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1540.00,1155.00,"22""","10""",6x5.5,,,,,,106.25,2500,,,,,,
XD85022068418N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1392.00,1044.00,"22""","10""",6x5.5,,,,,,106.25,2500,,,,,,
XD85022080318N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1540.00,1155.00,"22""","10""",8x6.5,,,,,,125.5,3640,,,,,,
XD85022080418N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1392.00,1044.00,"22""","10""",8x6.5,,,,,,125.5,3640,,,,,,
XD85022087318N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1540.00,1155.00,"22""","10""",8x170,,,,,,125.5,3640,,,,,,
XD85022087418N,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1392.00,1044.00,"22""","10""",8x170,,,,,,125.5,3640,,,,,,
XD85029050300,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",5x5.0,,,,,,71.5,2500,,,,,,
XD85029050318,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",5x5.0,,,,,,71.5,2500,,,,,,
XD85029050400,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",5x5.0,,,,,,71.5,2500,,,,,,
XD85029050418,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",5x5.0,,,,,,71.5,2500,,,,,,
XD85029058300,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",5x150,,,,,,110.5,2500,,,,,,
XD85029058318,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",5x150,,,,,,110.5,2500,,,,,,
XD85029063300,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",6x135,,,,,,87.1,2500,,,,,,
XD85029063318,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",6x135,,,,,,87.1,2500,,,,,,
XD85029063400,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",6x135,,,,,,87.1,2500,,,,,,
XD85029063418,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",6x135,,,,,,87.1,2500,,,,,,
XD85029064418,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",6x4.5,,,,,,66.06,2500,,,,,,
XD85029068300,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",6x5.5,,,,,,106.25,2500,,,,,,
XD85029068318,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",6x5.5,,,,,,106.25,2500,,,,,,
XD85029068400,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",6x5.5,,,,,,106.25,2500,,,,,,
XD85029068418,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",6x5.5,,,,,,106.25,2500,,,,,,
XD85029077318,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",6x120,,,,,,66.9,2500,,,,,,
XD85029080300,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",8x6.5,,,,,,125.5,3640,,,,,,
XD85029080318,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",8x6.5,,,,,,125.5,3640,,,,,,
XD85029080400,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",8x6.5,,,,,,125.5,3640,,,,,,
XD85029080418,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",8x6.5,,,,,,125.5,3640,,,,,,
XD85029087300,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",8x170,,,,,,125.5,3640,,,,,,
XD85029087318,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",8x170,,,,,,125.5,3640,,,,,,
XD85029087400,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",8x170,,,,,,125.5,3640,,,,,,
XD85029087418,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",8x170,,,,,,125.5,3640,,,,,,
XD85029088300,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
XD85029088318,XD,XD850 CAGE,https://images.wheelpros.com/hXD8503.png,1172.00,879.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
XD85029088400,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
XD85029088418,XD,XD850 CAGE,https://images.wheelpros.com/hXD8504.png,1080.00,810.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
XD85121000418N,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1508.00,1131.00,"20""","10""",,,,,,,78.3,2500,,,,,,
XD85121000718N,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1440.00,1080.00,"20""","10""",,,,,,,78.3,2500,,,,,,
XD85121035418N,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1396.00,1047.00,"20""","10""","5x5.0,5.5",,,,,,78.3,2500,,,,,,
XD85121035718N,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1328.00,996.00,"20""","10""","5x5.0,5.5",,,,,,78.3,2500,,,,,,
XD85121067418N,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1396.00,1047.00,"20""","10""","6x135,5.5",,,,,,106.25,2500,,,,,,
XD85121067718N,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1328.00,996.00,"20""","10""","6x135,5.5",,,,,,106.25,2500,,,,,,
XD85121080418N,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1396.00,1047.00,"20""","10""",8x6.5,,,,,,125.5,3640,,,,,,
XD85121080718N,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1328.00,996.00,"20""","10""",8x6.5,,,,,,125.5,3640,,,,,,
XD85121087418N,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1396.00,1047.00,"20""","10""",8x170,,,,,,125.5,3640,,,,,,
XD85121087718N,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1328.00,996.00,"20""","10""",8x170,,,,,,125.5,3640,,,,,,
XD85121088418N,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1396.00,1047.00,"20""","10""",8x180,,,,,,124.2,3640,,,,,,
XD85121088718N,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1328.00,996.00,"20""","10""",8x180,,,,,,124.2,3640,,,,,,
XD85129000400,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1324.00,993.00,"20""","9""",,,,,,,78.3,2500,,,,,,
XD85129000418,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1324.00,993.00,"20""","9""",,,,,,,78.3,2500,,,,,,
XD85129000700,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1264.00,948.00,"20""","9""",,,,,,,78.3,2500,,,,,,
XD85129000718,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1264.00,948.00,"20""","9""",,,,,,,78.3,2500,,,,,,
XD85129035400,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1228.00,921.00,"20""","9""","5x5.0,5.5",,,,,,78.3,2500,,,,,,
XD85129035418,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1228.00,921.00,"20""","9""","5x5.0,5.5",,,,,,78.3,2500,,,,,,
XD85129035700,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1168.00,876.00,"20""","9""","5x5.0,5.5",,,,,,78.3,2500,,,,,,
XD85129035718,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1168.00,876.00,"20""","9""","5x5.0,5.5",,,,,,78.3,2500,,,,,,
XD85129067400,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1228.00,921.00,"20""","9""","6x135,5.5",,,,,,106.25,2500,,,,,,
XD85129067418,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1228.00,921.00,"20""","9""","6x135,5.5",,,,,,106.25,2500,,,,,,
XD85129067700,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1168.00,876.00,"20""","9""","6x135,5.5",,,,,,106.25,2500,,,,,,
XD85129067718,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1168.00,876.00,"20""","9""","6x135,5.5",,,,,,106.25,2500,,,,,,
XD85129070418,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,984.00,738.00,"20""","9""","6x4.5,5.5",,,,,,78.3,2500,,,,,,
XD85129080400,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1228.00,921.00,"20""","9""",8x6.5,,,,,,125.5,3640,,,,,,
XD85129080418,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1228.00,921.00,"20""","9""",8x6.5,,,,,,125.5,3640,,,,,,
XD85129080700,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1168.00,876.00,"20""","9""",8x6.5,,,,,,125.5,3640,,,,,,
XD85129080718,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1168.00,876.00,"20""","9""",8x6.5,,,,,,125.5,3640,,,,,,
XD85129086418,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1228.00,921.00,"20""","9""","5x5.5,150",,,,,,110.5,2500,,,,,,
XD85129086718,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1168.00,876.00,"20""","9""","5x5.5,150",,,,,,110.5,2500,,,,,,
XD85129087400,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1228.00,921.00,"20""","9""",8x170,,,,,,125.5,3640,,,,,,
XD85129087418,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1228.00,921.00,"20""","9""",8x170,,,,,,125.5,3640,,,,,,
XD85129087700,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1168.00,876.00,"20""","9""",8x170,,,,,,125.5,3640,,,,,,
XD85129087718,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1168.00,876.00,"20""","9""",8x170,,,,,,125.5,3640,,,,,,
XD85129088400,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1228.00,921.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
XD85129088418,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8514.png,1228.00,921.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
XD85129088700,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1168.00,876.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
XD85129088718,XD,XD851 MONSTER 3,https://images.wheelpros.com/hXD8517.png,1168.00,876.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
XD85221000418N,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1492.00,1119.00,"20""","10""",,,,,,,78.1,2500,,,,,,
XD85221000718N,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1456.00,1092.00,"20""","10""",,,,,,,78.1,2500,,,,,,
XD85221035418N,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1384.00,1038.00,"20""","10""","5x5.0,5.5",,,,,,78.1,2500,,,,,,
XD85221035718N,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1348.00,1011.00,"20""","10""","5x5.0,5.5",,,,,,78.1,2500,,,,,,
XD85221067418N,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1384.00,1038.00,"20""","10""","6x135,5.5",,,,,,106.1,2500,,,,,,
XD85221067718N,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1348.00,1011.00,"20""","10""","6x135,5.5",,,,,,106.1,2500,,,,,,
XD85221080418N,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1384.00,1038.00,"20""","10""",8x6.5,,,,,,125.1,3640,,,,,,
XD85221080718N,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1348.00,1011.00,"20""","10""",8x6.5,,,,,,125.1,3640,,,,,,
XD85221087418N,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1384.00,1038.00,"20""","10""",8x170,,,,,,125.1,3640,,,,,,
XD85221087718N,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1348.00,1011.00,"20""","10""",8x170,,,,,,125.1,3640,,,,,,
XD85221088418N,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1384.00,1038.00,"20""","10""",8x180,,,,,,124.2,3640,,,,,,
XD85221088718N,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1348.00,1011.00,"20""","10""",8x180,,,,,,124.2,3640,,,,,,
XD85229000400,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1312.00,984.00,"20""","9""",,,,,,,78.1,2500,,,,,,
XD85229000700,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1280.00,960.00,"20""","9""",,,,,,,78.1,2500,,,,,,
XD85229035400,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1216.00,912.00,"20""","9""","5x5.0,5.5",,,,,,78.1,2500,,,,,,
XD85229035700,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1184.00,888.00,"20""","9""","5x5.0,5.5",,,,,,78.1,2500,,,,,,
XD85229067400,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1216.00,912.00,"20""","9""","6x135,5.5",,,,,,106.1,2500,,,,,,
XD85229067700,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1184.00,888.00,"20""","9""","6x135,5.5",,,,,,106.1,2500,,,,,,
XD85229078400,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1216.00,912.00,"20""","9""","6x120,5.5",,,,,,78.1,2500,,,,,,
XD85229078700,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1184.00,888.00,"20""","9""","6x120,5.5",,,,,,78.1,2500,,,,,,
XD85229080400,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1216.00,912.00,"20""","9""",8x6.5,,,,,,125.1,3640,,,,,,
XD85229080700,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1184.00,888.00,"20""","9""",8x6.5,,,,,,125.1,3640,,,,,,
XD85229086400,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1216.00,912.00,"20""","9""","5x5.5,150",,,,,,110.1,2500,,,,,,
XD85229086700,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1184.00,888.00,"20""","9""","5x5.5,150",,,,,,110.1,2500,,,,,,
XD85229087400,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1216.00,912.00,"20""","9""",8x170,,,,,,125.1,3640,,,,,,
XD85229087700,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1184.00,888.00,"20""","9""",8x170,,,,,,125.1,3640,,,,,,
XD85229088400,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1216.00,912.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
XD85229088700,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1184.00,888.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
XD85279000400,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1156.00,867.00,"17""","9""",,,,,,,78.1,2500,,,,,,
XD85279000700,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1128.00,846.00,"17""","9""",,,,,,,78.1,2500,,,,,,
XD85279035400,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1060.00,795.00,"17""","9""","5x5.0,5.5",,,,,,78.1,2500,,,,,,
XD85279035700,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1032.00,774.00,"17""","9""","5x5.0,5.5",,,,,,78.1,2500,,,,,,
XD85279067400,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8524.png,1060.00,795.00,"17""","9""","6x135,5.5",,,,,,106.1,2500,,,,,,
XD85279067700,XD,XD852 GAUNTLET,https://images.wheelpros.com/hXD8527.png,1032.00,774.00,"17""","9""","6x135,5.5",,,,,,106.1,2500,,,,,,
XD85421000318N,XD,XD854 REACTOR,https://images.wheelpros.com/hXD8543.png,1384.00,1038.00,"20""","10""",,,,,,,78.1,2500,,,,,,
XD85421000918N,XD,XD854 REACTOR,https://images.wheelpros.com/hXD8549.png,1420.00,1065.00,"20""","10""",,,,,,,78.1,2500,,,,,,
XD85421035318N,XD,XD854 REACTOR,https://images.wheelpros.com/hXD8543.png,1276.00,957.00,"20""","10""","5x5.0,5.5",,,,,,78.1,2500,,,,,,
XD85421035918N,XD,XD854 REACTOR,https://images.wheelpros.com/hXD8549.png,1312.00,984.00,"20""","10""","5x5.0,5.5",,,,,,78.1,2500,,,,,,
XD85421067318N,XD,XD854 REACTOR,https://images.wheelpros.com/hXD8543.png,1276.00,957.00,"20""","10""","6x135,5.5",,,,,,106.1,2500,,,,,,
XD85421067918N,XD,XD854 REACTOR,https://images.wheelpros.com/hXD8549.png,1312.00,984.00,"20""","10""","6x135,5.5",,,,,,106.1,2500,,,,,,
XD85421086318N,XD,XD854 REACTOR,https://images.wheelpros.com/hXD8543.png,1276.00,957.00,"20""","10""","5x5.5,150",,,,,,110.1,2500,,,,,,
XD85421086918N,XD,XD854 REACTOR,https://images.wheelpros.com/hXD8549.png,1312.00,984.00,"20""","10""","5x5.5,150",,,,,,110.1,2500,,,,,,
